Credit_amount,Employment,Installment_commitment,Personal_status,Age,Existing_credits,Job,Own_telephone,Class
1169.0,>=7,4.0,male single,67.0,2,skilled,1,1
5951.0,1<=X<4,2.0,female div/dep/mar,22.0,1,skilled,0,0
2096.0,4<=X<7,2.0,male single,49.0,1,unskilled resident,0,1
7882.0,4<=X<7,2.0,male single,45.0,1,skilled,0,1
4870.0,1<=X<4,3.0,male single,53.0,2,skilled,0,0
9055.0,1<=X<4,2.0,male single,35.0,1,unskilled resident,1,1
2835.0,>=7,3.0,male single,53.0,1,skilled,0,1
6948.0,1<=X<4,2.0,male single,35.0,1,high qualif/self emp/mgmt,1,1
3059.0,4<=X<7,2.0,male div/sep,61.0,1,unskilled resident,0,1
5234.0,unemployed,4.0,male mar/wid,28.0,2,high qualif/self emp/mgmt,0,0
1295.0,<1,3.0,female div/dep/mar,25.0,1,skilled,0,0
4308.0,<1,3.0,female div/dep/mar,24.0,1,skilled,0,0
1567.0,1<=X<4,1.0,female div/dep/mar,22.0,1,skilled,1,1
1199.0,>=7,4.0,male single,60.0,2,unskilled resident,0,0
1403.0,1<=X<4,2.0,female div/dep/mar,28.0,1,skilled,0,1
1282.0,1<=X<4,4.0,female div/dep/mar,32.0,1,unskilled resident,0,0
2424.0,>=7,4.0,male single,53.0,2,skilled,0,1
8072.0,<1,2.0,male single,25.0,3,skilled,0,1
12579.0,>=7,4.0,female div/dep/mar,44.0,1,high qualif/self emp/mgmt,1,0
3430.0,>=7,3.0,male single,31.0,1,skilled,1,1
2134.0,1<=X<4,4.0,male single,48.0,3,skilled,1,1
2647.0,1<=X<4,2.0,male single,44.0,1,skilled,0,1
2241.0,<1,1.0,male single,48.0,2,unskilled resident,0,1
1804.0,<1,3.0,male single,44.0,1,skilled,0,1
2069.0,1<=X<4,2.0,male mar/wid,26.0,2,skilled,0,1
1374.0,1<=X<4,1.0,male single,36.0,1,unskilled resident,1,1
426.0,>=7,4.0,male mar/wid,39.0,1,unskilled resident,0,1
409.0,1<=X<4,3.0,female div/dep/mar,42.0,2,skilled,0,1
2415.0,1<=X<4,3.0,male single,34.0,1,skilled,0,1
6836.0,>=7,3.0,male single,63.0,2,skilled,1,0
1913.0,<1,3.0,male mar/wid,36.0,1,skilled,1,1
4020.0,1<=X<4,2.0,male single,27.0,1,skilled,0,1
5866.0,1<=X<4,2.0,male single,30.0,2,skilled,1,1
1264.0,>=7,4.0,male single,57.0,1,unskilled resident,0,1
1474.0,<1,4.0,female div/dep/mar,33.0,1,high qualif/self emp/mgmt,1,1
4746.0,<1,4.0,male single,25.0,2,unskilled resident,0,0
6110.0,1<=X<4,1.0,male single,31.0,1,skilled,1,1
2100.0,1<=X<4,4.0,male single,37.0,1,skilled,0,0
1225.0,1<=X<4,2.0,male single,37.0,1,skilled,1,1
458.0,1<=X<4,4.0,male single,24.0,1,skilled,0,1
2333.0,>=7,4.0,male single,30.0,1,high qualif/self emp/mgmt,0,1
1158.0,1<=X<4,3.0,male div/sep,26.0,1,skilled,1,1
6204.0,1<=X<4,2.0,male single,44.0,1,unskilled resident,1,1
6187.0,4<=X<7,1.0,male mar/wid,24.0,2,skilled,0,1
6143.0,>=7,4.0,female div/dep/mar,58.0,2,unskilled resident,0,0
1393.0,<1,4.0,female div/dep/mar,35.0,2,high qualif/self emp/mgmt,0,1
2299.0,>=7,4.0,male single,39.0,1,skilled,0,1
1352.0,unemployed,1.0,female div/dep/mar,23.0,1,unemp/unskilled non res,1,1
7228.0,1<=X<4,1.0,male single,39.0,2,unskilled resident,0,1
2073.0,1<=X<4,4.0,female div/dep/mar,28.0,1,skilled,0,1
2333.0,<1,4.0,male single,29.0,1,unskilled resident,0,1
5965.0,>=7,1.0,male single,30.0,2,high qualif/self emp/mgmt,1,1
1262.0,1<=X<4,3.0,male single,25.0,1,skilled,0,1
3378.0,1<=X<4,2.0,male single,31.0,1,skilled,1,1
2225.0,>=7,4.0,male single,57.0,2,skilled,1,0
783.0,1<=X<4,1.0,male single,26.0,1,unskilled resident,0,1
6468.0,unemployed,2.0,male single,52.0,1,high qualif/self emp/mgmt,1,0
9566.0,1<=X<4,2.0,female div/dep/mar,31.0,2,skilled,0,1
1961.0,>=7,3.0,female div/dep/mar,23.0,1,high qualif/self emp/mgmt,0,1
6229.0,<1,4.0,female div/dep/mar,23.0,2,unskilled resident,1,0
1391.0,1<=X<4,2.0,male mar/wid,27.0,1,skilled,1,1
1537.0,>=7,4.0,male single,50.0,2,skilled,1,1
1953.0,>=7,4.0,male single,61.0,1,high qualif/self emp/mgmt,1,0
14421.0,1<=X<4,2.0,male single,25.0,1,skilled,1,0
3181.0,<1,4.0,female div/dep/mar,26.0,1,skilled,1,1
5190.0,>=7,4.0,male single,48.0,4,skilled,1,1
2171.0,<1,2.0,female div/dep/mar,29.0,1,skilled,0,1
